ShortID,ID,City,Country,Status,Network,Agency,,
AACR,AACR00CRI,Pavas,Costa Rica,active,,AyA,more,
AB21,AB2100USA,Adak,AK,USA,active,US-CORS,UNAVCO,more,
AB43,AB4300USA,Cape Spencer,AK,USA,active,US-CORS,UNAVCO,more,
ABCC,ABCC00COL,Bogotá,Colombia,active,MAGNA-ECO,EABB,more,
ABEC,ABEC00ECU,Ambato,Ecuador,active,REGME,IGM-EC,GADM,more,
ABMF,ABMF00GLP,Guadeloupe,France,active,IGS14,ITRF2014,IGN-Fr,Météo France,more,
ABPD,ABPD00COL,Bogotá,Colombia,active,MAGNA-ECO,EABB,more,
ABPW,ABPW00COL,Bogotá,Colombia,inactive,MAGNA-ECO,EABB,more,
ABRA,ABRA00ARG,Abra Pampa,Argentina,removed,RAMSAC,IGN-AR,EJESA,more,
AC24,AC2400USA,King Salmon,AK,USA,active,US-CORS,UNAVCO,more,
AC43,AC4300USA,Seward,AK,USA,inactive,US-CORS,UNAVCO,more,
AC58,AC5800USA,St. Paul,AK,USA,inactive,US-CORS,UNAVCO,more,
ACSO,ACSO00USA,Delaware,OH,USA,active,US-CORS,UNAVCO,more,
AGCA,AGCA00COL,Aguachica,Colombia,inactive,MAGNA-ECO,IGAC,more,
AGGO,AGGO00ARG,La Plata,Argentina,active,IGS,RAMSAC,AGGO,CONICET,BKG,more,
ALAR,ALAR00BRA,Arapiraca,Brazil,active,RBMC,IBGE,more,
ALBE,ALBE00COL,San Alberto,Colombia,active,MAGNA-ECO,IGAC,more,
ALEC,ALEC00ECU,Alausi,Ecuador,active,REGME,IGM-EC,more,
ALGO,ALGO00CAN,Algonquin Park,Canada,active,IGb14,ITRF2014,CSRS,NRCan-CGS,more,
ALMA,ALMA00BRA,Maceio,Brazil,active,RBMC,IBGE,UFAL,more,
ALTA,ALTA00ARG,Los Altares,Argentina,active,RAMSAC,IGN-AR,Los Altares,more,
ALUM,ALUM00ARG,Alumbrera,Argentina,active,RAMSAC,Minera Alumbrera,IGN-AR,more,
AM04,AM0400PER,Nieva,Peru,active,REGPMOC,IGN-PE,more,
AMBC,AMBC00BRA,Barcelos,Brazil,removed,RBMC,IBGE,more,
AMCO,AMCO00BRA,Porto Urucu,Brazil,active,RBMC,IBGE,more,
AMCR,AMCR00BRA,Coari,Brazil,active,RBMC,IBGE,more,
AMHA,AMHA00BRA,Humaita,Brazil,active,RBMC,IBGE,UEA,more,
AMPR,AMPR00BRA,Parintins,Brazil,removed,RBMC,IBGE,more,
AMPT,AMPT00BRA,Parintins,Brazil,removed,RBMC,IBGE,UFAM,more,
AMTE,AMTE00BRA,Tefe,Brazil,active,RBMC,IBGE,more,
AMTG,AMTG00BRA,Tabatinga,Brazil,active,RBMC,IBGE,more,
AMUA,AMUA00BRA,Manaus,Brazil,active,RBMC,IBGE,UEA,more,
AN02,AN0200PER,Chimbote,Peru,active,REGPMOC,SSACH,IGN-PE,more,
ANDS,ANDS00COL,San Andres,Colombia,removed,MAGNA-ECO,IGAC,FAC-GACAR,more,
ANGO,ANGO00CHL,Angol,Chile,removed,,DGFI,UDEC,IGM-CL,more,
ANTC,ANTC00CHL,Los Angeles,Chile,active,IGS,ITRF2014,G2,UdeC-DG,more,
ANTF,ANTF00CHL,Antofagasta,Chile,active,IGS,UANTOF,USACH,more,
AOML,AOML00USA,Key Biscayne,USA,removed,IGS,ITRF2014,NOAA-NGS,more,
AP01,AP0100PER,Abancay,Peru,active,REGPMOC,SGRAAB,IGN-PE,more,
APLJ,APLJ00BRA,Laranjal do Jari,Brazil,active,RBMC,IBGE,IFAP,more,
APMA,APMA00BRA,Macapa,Brazil,active,RBMC,IBGE,DTCEA-MQ,more,
APS1,APS100BRA,Santana,Brazil,active,RBMC,IBGE,more,
APSA,APSA00BRA,Santana,Brazil,removed,RBMC,IBGE,more,
APTO,APTO00COL,Apartado,Colombia,removed,MAGNA-ECO,IGAC,CORPOURABA,more,
AQ01,AQ0100PER,Arequipa,Peru,active,REGPMOC,IGN-PE,more,
ARCA,ARCA00COL,Arauca,Colombia,active,MAGNA-ECO,IGAC,more,
AREQ,AREQ00PER,Arequipa,Peru,active,IGS14-Core,ITRF2014,JPL,UNAVCO,more,
ASC1,ASC100SHN,Ascension,UK,removed,IGS14-Core,ITRF2014,JPL,UNAVCO,CICESE,more,
ASCG,ASCG00SHN,Ascension,United Kingdom,active,IGS,ESA,CNES,more,
ASPA,ASPA00USA,Pago Pago,AS,USA,inactive,IGS,ITRF2014,US-CORS,ASDOC,NOAA-NGS,more,
ATW2,ATW200USA,Palmer,AK,USA,active,IGS,US-CORS,UNAVCO,more,
AUTF,AUTF00ARG,Ushuaia,Argentina,active,ITRF2014,RAMSAC,CERI,IGN-AR,more,
AV09,AV0900USA,Unalaska,AK,USA,active,US-CORS,UNAVCO,more,
AY02,AY0200PER,Coracora,Peru,active,REGPMOC,IGN-PE,more,
AZUE,AZUE00PAN,Chitre,Panama,removed,Panama-CORS,IGNTG,more,
AZUL,AZUL00ARG,Azul,Argentina,active,RAMSAC,UNC-AR,IGN-AR,more,
