ShortID,Long,Lat,Height
NLIB,268d25'30.4",41d46'17.7,207.0
NNOR,116d11'33.8",-31d02'55.4,234.8
NOT1,14d59'23.2",36d52'33.1,126.3
NOVM,82d54'34.2",55d01'49.8,150.1
NRC1,284d22'34.2",45d27'15.0,82.5
NTUS,103d40'47.9",1d20'44.9,75.4
NYA1,11d51'55.1",78d55'46.4,84.4
NYAL,11d51'54.3",78d55'46.5,78.7
OHI2,302d05'55.2",-63d19'15.9,32.5
ONSA,11d55'31.9",57d23'43.1,45.6
OPMT,2d20'05.8",48d50'09.3,122.6
OUS2,170d30'39.3",-45d52'10.1,26.1
PADO,11d53'45.8",45d24'40.2,64.7
PARC,289d07'12.4",-53d08'13.0,22.3
PARK,148d15'52.6",-32d59'55.5,397.4
PDEL,334d20'14.1",37d44'51.9,110.6
PENC,19d16'53.5",47d47'22.6,291.7
PERT,115d53'06.9",-31d48'07.0,12.7
PIE1,251d52'51.9",34d18'05.4,2347.7
POHN,158d12'36.4",6d57'35.8,90.7
POL2,74d41'39.4",42d40'47.2,1714.2
POLV,34d32'34.6",49d36'09.4,178.3
POTS,13d03'57.9",52d22'45.5,144.4
POVE,296d06'13.2",-8d42'33.6,119.6
PRDS,245d42'23.4",50d52'16.9,1248.0
PTAG,121d02'26.7",14d32'07.6,86.7
PTBB,10d27'35.1",52d17'46.3,130.2
PTVL,168d18'54.1",-17d44'58.0,86.5
QAQ1,313d57'08.0",60d42'55.0,110.5
QUIN,239d03'20.0",39d58'28.4,1105.8
RAMO,34d45'47.3",30d35'51.4,886.8
REUN,55d34'18.2",-21d12'29.6,1558.3
REYK,338d02'40.2",64d08'19.6,93.0
RGDG,292d14'54.5",-53d47'09.0,32.4
RIO2,292d14'56.0",-53d47'07.7,32.0
RIOP,281d20'56.0",-1d39'02.1,2817.2
SALU,315d47'15.1",-2d35'36.4,19.0
SAMO,WS 188d15'41.7",-13d50'57.1,76.7
SANT,289d19'53.2",-33d09'01.0,723.1
SAVO,321d34'03.9",-12d56'21.3,76.3
SCH2,293d10'02.6",54d49'55.5,498.4
SCOR,338d02'58.8",70d29'07.2,128.6
SCRZ,O  296d50'25.2",-17d47'48.4,442.0
SCTB,166d45'28.9",-77d50'56.4,-19.0
SCUB,284d14'15.7",20d00'43.4,20.9
SEYG,55d31'50.3",-4d40'43.4,-37.6
SMST,JP 135d56'13.0",33d34'40.3,97.5
SOFI,23d23'41.1",42d33'21.9,1119.5
SPT0,12d53'28.9",57d42'53.9,220.0
STHL,354d19'57.6",-15d56'33.1,453.2
STJO,307d19'20.1",47d35'42.9,152.8
STK2,141d50'41.4",43d31'43.1,118.6
STR2,149d00'36.6",-35d18'58.1,802.5
SUTH,20d48'37.7",-32d22'48.7,1799.8
SUTM,20d48'39.3",-32d22'53.2,1797.6
SUWN,127d03'15.3",37d16'31.8,82.3
SYDN,151d09'01.4",-33d46'51.1,85.6
SYOG,Q   39d35'01.5",-69d00'25.0,50.0
TABL,242d19'18.2",34d22'54.7,2228.0
TABV,242d19'18.2",34d22'54.7,2228.0
TASH,69d17'44.1",41d19'41.0,439.7
THTG,210d23'36.8",-17d34'37.4,98.0
THTI,210d23'36.7",-17d34'37.4,98.0
THU2,291d10'29.8",76d32'13.4,36.2
TID1,148d58'48.0",-35d23'57.1,665.3
TIDB,148d58'48.0",-35d23'57.1,665.3
TIXG,128d51'59.1",71d38'04.1,47.1
TLSE,1d28'51.2",43d33'38.5,207.2
TONG,TO 184d49'14.9",-21d08'41.0,56.3
TOW2,147d03'20.5",-19d16'09.4,88.1
TRO1,18d56'22.8",69d39'45.8,138.1
TSEA,210d06'18.1",61d11'14.4,43.0
TSKB,140d05'15.0",36d06'20.4,67.3
TUVA,179d11'47.6",-8d31'31.0,38.4
TWTF,121d09'52.2",24d57'12.8,201.5
UFPR,310d46'08.6",-25d26'54.1,925.8
ULAB,107d03'08.4",47d51'54.2,1575.5
UNB3,293d21'29.9",45d57'00.8,22.8
UNBJ,293d21'29.9",45d57'00.8,22.8
UNSA,294d35'32.5",-24d43'38.8,1257.8
URUM,87d36'02.4",43d48'28.6,858.9
USUD,138d21'43.4",36d07'59.2,1508.7
VALD,282d26'09.0",48d05'49.4,312.9
VILL,356d02'52.9",40d26'36.9,647.3
VOIM,46d47'35.8",-21d54'22.7,1163.4
WARK,174d39'46.0",-36d26'03.9,111.3
WGTN,174d48'21.2",-41d19'24.4,26.0
WHIT,224d46'40.4",60d45'01.8,1427.4
WILL,237d49'55.9",52d14'12.7,1095.7
WIND,17d05'22.0",-22d34'29.7,1734.7
WSRT,6d36'16.2",52d54'52.6,82.3
WTZR,12d52'44.1",49d08'39.1,666.0
WTZZ,12d52'44.1",49d08'39.2,665.9
WUHN,114d21'26.2",30d31'53.9,25.9
XMIS,105d41'18.6",-10d26'59.8,261.5
YAR2,115d20'49.1",-29d02'47.6,241.3
YAR3,115d20'49.8",-29d02'47.4,242.5
YARR,115d20'49.1",-29d02'47.7,241.4
YELL,245d31'09.5",62d28'51.2,181.0
YKRO,354d45'35.7",6d52'14.0,270.3
ZAMB,28d18'39.7",-15d25'31.9,1324.9
ZECK,41d33'54.3",43d47'18.2,1166.3
ZIM2,7d27'54.1",46d52'37.5,956.4
ZIM3,7d27'54.1",46d52'37.5,956.4
ZIMM,7d27'55.0",46d52'37.6,956.3
